epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.231099933385849,4.310967922210693,1e-04,0.2593088150024414,4.385946273803711
1,0.25052544474601746,3.5143203735351562,1e-04,0.2925306558609009,3.171429395675659
2,0.256002813577652,2.9730920791625977,1e-04,0.3161650002002716,2.678964376449585
3,0.26278582215309143,2.5628926753997803,1e-04,0.32686734199523926,2.326828956604004
4,0.27880388498306274,2.2647669315338135,1e-04,0.33110368251800537,2.0642776489257812
5,0.29612764716148376,2.061331272125244,1e-04,0.37435898184776306,1.870113730430603
6,0.3229730725288391,1.9053244590759277,1e-04,0.4017837345600128,1.7664014101028442
7,0.3606458306312561,1.7666735649108887,1e-04,0.44771459698677063,1.5812335014343262
8,0.40503790974617004,1.65522301197052,1e-04,0.47335562109947205,1.4982408285140991
9,0.43423986434936523,1.5723568201065063,1e-04,0.514158308506012,1.3730554580688477
10,0.4552576243877411,1.5085850954055786,1e-04,0.5170568823814392,1.3426055908203125
11,0.4707980453968048,1.4614509344100952,1e-04,0.5239687561988831,1.3562595844268799
12,0.486879825592041,1.4179892539978027,1e-04,0.5667781233787537,1.2365446090698242
13,0.49831220507621765,1.3936587572097778,1e-04,0.5607580542564392,1.2229198217391968
14,0.5087574124336243,1.3650463819503784,1e-04,0.5545150637626648,1.2398805618286133
15,0.5170052647590637,1.3551472425460815,1e-04,0.5643255114555359,1.2322643995285034
16,0.5188204646110535,1.3329588174819946,1e-04,0.5955407023429871,1.1577017307281494
17,0.5246162414550781,1.3234038352966309,1e-04,0.5745819211006165,1.1869621276855469
18,0.5343289971351624,1.3041340112686157,1e-04,0.5721293091773987,1.2014899253845215
19,0.5349341034889221,1.2925169467926025,1e-04,0.582608699798584,1.1674695014953613
20,0.536207914352417,1.2875120639801025,1e-04,0.5794872045516968,1.1712369918823242
21,0.5467167496681213,1.2774722576141357,1e-04,0.5797101259231567,1.184752345085144
22,0.5489140748977661,1.2628073692321777,1e-04,0.6051282286643982,1.1398097276687622
23,0.5515572428703308,1.2561662197113037,1e-04,0.6060200929641724,1.1238545179367065
24,0.5540411472320557,1.2493016719818115,1e-04,0.5991081595420837,1.1396145820617676
25,0.5574485659599304,1.2415038347244263,1e-04,0.5915273427963257,1.1412252187728882
26,0.56114262342453,1.2326713800430298,1e-04,0.6127090454101562,1.1107372045516968
27,0.5597732663154602,1.2369712591171265,1e-04,0.6220735907554626,1.1054248809814453
28,0.5677663683891296,1.2217820882797241,1e-04,0.6122630834579468,1.1116561889648438
29,0.5657283067703247,1.2256232500076294,1e-04,0.6049052476882935,1.1142207384109497
30,0.5699318647384644,1.213403582572937,1e-04,0.6162765026092529,1.090712070465088
31,0.5722246766090393,1.2090831995010376,1e-04,0.6111482977867126,1.1110966205596924
32,0.5742946267127991,1.2075753211975098,1e-04,0.6091415882110596,1.1087157726287842
33,0.575377345085144,1.1988990306854248,1e-04,0.618506133556366,1.0965322256088257
34,0.5732437372207642,1.2014209032058716,1e-04,0.602229654788971,1.1370927095413208
35,0.5757913589477539,1.196391224861145,1e-04,0.6292084455490112,1.0741015672683716
36,0.574485719203949,1.1946793794631958,1e-04,0.6028985381126404,1.1216073036193848
37,0.5797082781791687,1.191359519958496,1e-04,0.6140468120574951,1.0988969802856445
38,0.5819056034088135,1.1818383932113647,1e-04,0.6093645691871643,1.0974045991897583
39,0.5834341645240784,1.1807775497436523,1e-04,0.6220735907554626,1.0770368576049805
40,0.586300253868103,1.176073670387268,1e-04,0.6138238310813904,1.108885407447815
41,0.5850901007652283,1.1775176525115967,1e-04,0.6069119572639465,1.1261612176895142
