epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1876697987318039,2.1235923767089844,1e-04,0.24689981341362,1.792109489440918
1,0.2242424190044403,1.8523874282836914,1e-04,0.2753239572048187,1.6994229555130005
2,0.24479275941848755,1.777504324913025,1e-04,0.3175421357154846,1.6628447771072388
3,0.2719261646270752,1.7281595468521118,1e-04,0.3121081292629242,1.6452184915542603
4,0.3013235926628113,1.6721543073654175,1e-04,0.37801310420036316,1.5457885265350342
5,0.3431905210018158,1.6087889671325684,1e-04,0.3703497350215912,1.5612751245498657
6,0.37690699100494385,1.5438950061798096,1e-04,0.3908318281173706,1.5199220180511475
7,0.4088122546672821,1.4782485961914062,1e-04,0.4500487744808197,1.398086667060852
8,0.4386276602745056,1.4226963520050049,1e-04,0.5137243866920471,1.2628071308135986
9,0.4593869745731354,1.3761446475982666,1e-04,0.4655148386955261,1.2968459129333496
10,0.47889238595962524,1.3327072858810425,1e-04,0.49895498156547546,1.2655267715454102
11,0.4951933026313782,1.297562599182129,1e-04,0.4942176342010498,1.274407982826233
12,0.5116683840751648,1.270754098892212,1e-04,0.5626306533813477,1.1434873342514038
13,0.5240334272384644,1.238956332206726,1e-04,0.5652779936790466,1.1275049448013306
14,0.5351096987724304,1.209540605545044,1e-04,0.5573359131813049,1.1677629947662354
15,0.5450714230537415,1.1902183294296265,1e-04,0.5551065802574158,1.137634038925171
16,0.5550330877304077,1.1698553562164307,1e-04,0.577121376991272,1.0829099416732788
17,0.5594914555549622,1.1545401811599731,1e-04,0.5822767019271851,1.1082202196121216
18,0.5666318535804749,1.1367487907409668,1e-04,0.5963494777679443,1.0510588884353638
19,0.5750957727432251,1.1244245767593384,1e-04,0.5938414335250854,1.0470131635665894
20,0.5825496315956116,1.1031373739242554,1e-04,0.6031768321990967,1.0782595872879028
21,0.5854754447937012,1.0996145009994507,1e-04,0.5785146951675415,1.0926350355148315
22,0.5894461870193481,1.0880006551742554,1e-04,0.604988157749176,1.0358257293701172
23,0.5911877155303955,1.0771085023880005,1e-04,0.5994148254394531,1.0702933073043823
24,0.5979797840118408,1.0666941404342651,1e-04,0.5955134630203247,1.0611451864242554
25,0.6037617325782776,1.0596500635147095,1e-04,0.6146022081375122,0.9954186677932739
26,0.6066875457763672,1.0428954362869263,1e-04,0.6041521430015564,1.0461504459381104
27,0.6109718084335327,1.0387707948684692,1e-04,0.5974641442298889,1.0580840110778809
28,0.6177638173103333,1.0270764827728271,1e-04,0.6098648309707642,1.0266759395599365
29,0.6180076599121094,1.0220348834991455,1e-04,0.6015048027038574,1.0685209035873413
30,0.62215256690979,1.0112472772598267,1e-04,0.6318796277046204,0.9624318480491638
31,0.6269592642784119,1.0008935928344727,1e-04,0.5846453905105591,1.100766897201538
32,0.623928964138031,1.0027618408203125,1e-04,0.6441410183906555,0.9344581961631775
33,0.6295019388198853,0.9954404234886169,1e-04,0.6197575330734253,1.0360422134399414
34,0.6359108090400696,0.9861736297607422,1e-04,0.6314616203308105,0.9613944292068481
35,0.6349355578422546,0.9830043315887451,1e-04,0.60735684633255,1.0574250221252441
36,0.6352490186691284,0.9720196723937988,1e-04,0.6306256055831909,0.976521909236908
37,0.6393591165542603,0.9690261483192444,1e-04,0.6378709673881531,0.9945799112319946
38,0.6445837616920471,0.9593502283096313,1e-04,0.6087501645088196,1.100193977355957
39,0.6579589247703552,0.9205141663551331,2e-05,0.6724258065223694,0.8745779395103455
40,0.6668408513069153,0.9059087634086609,2e-05,0.665877103805542,0.8909844160079956
41,0.6696621179580688,0.9012284278869629,2e-05,0.6728438138961792,0.8799092769622803
